Name,Start Time,Duration,Run ID,Source Type,Status,dataset__target_,dataset_batch_size,dataset_max_seq_len,dataset_num_workers,dataset_pin_memory,dataset_pretrained_path,dataset_thereshold,model__target_,model_amino_vocab_size,model_batch_size,model_condense_graph_dim,model_condense_num_dim,model_condense_text_dim,model_dropout_prob,model_eps,model_lr,model_max_epochs,model_node_dim,model_num_feature_dim,model_num_gnn_layers,model_post_fusion_dim,model_post_fusion_dropout_prob,model_pretrained_path,model_rank,model_train_size,model_warmup_epoch,model_weight_decay,model_with_intermediate_layer,model_with_lowrank_tensorfusion_network,model_with_lstm,model_with_tensorfusion_network,trainer__target_,trainer_accelerator,trainer_accumulate_grad_batches,trainer_gpus,trainer_max_epochs,trainer_min_epochs,trainer_progress_bar_refresh_rate,trainer_resume_from_checkpoint,trainer_weights_summary,test/acc_mean,test/acc_std,test/auroc_mean,test/auroc_std,test/f1_mean,test/f1_std,test/loss_mean,test/loss_std,test/prec_mean,test/prec_std,test/rec_mean,test/rec_std,val/f1_mean,val/f1_std
GraphAndNumModule1316277585,2022-03-02 14:54:38,69ms,6d566d561d2e4a5f80655bf3ac964f2b,LOCAL,FINISHED,src.datamodules.graph_and_num_datamodule.GraphAndNumModule,16,,0,False,,8.0,src.models.graph_and_num_model.GraphAndNumModule,29.0,32,,,,0.1,1e-08,5e-05,20,128.0,100.0,2.0,,,,,2586,5,0.01,,,,,pytorch_lightning.Trainer,ddp,,2,20,1,5,None,None,0.8230769038200378,0,0.4795833230018616,0.0,0.0416666679084301,0,0.6144738793373108,0,0.0357142873108387,0,0.050000000745058,0,0.1818181872367859,0
GraphModule333087547,2022-03-02 14:52:58,68ms,decd51563b77495eae0fc59c35e8ec03,LOCAL,FINISHED,src.datamodules.graph_datamodule.GraphDatasetModule,16,256.0,0,False,dmis-lab/biobert-v1.1,8.0,src.models.graph_model.GraphModule,29.0,32,,,,0.1,1e-08,5e-05,20,128.0,,2.0,,,,,2586,5,0.01,,,,,pytorch_lightning.Trainer,ddp,,2,20,1,5,None,None,0.8500000238418579,0,0.4770833253860473,0.0,0.0,0,0.659583330154419,0,0.0,0,0.0,0,0.0,0
TextAndGraphAndNumModule3768217915,2022-03-02 14:52:07,79ms,cef320b55e414c248def83a7768fca51,LOCAL,FINISHED,src.datamodules.text_and_graph_and_num_datamodule.TextAndGraphAndNumModule,16,256.0,0,False,dmis-lab/biobert-v1.1,8.0,src.models.text_and_graph_and_num_model.TextAndGraphAndNumModule,29.0,32,32.0,32.0,128.0,,1e-08,5e-05,20,128.0,500.0,2.0,512.0,0.1,dmis-lab/biobert-v1.1,4.0,2586,5,0.01,False,False,False,False,pytorch_lightning.Trainer,ddp,,2,20,1,5,None,None,0.9615384340286256,0,0.9266666173934937,0.0,0.7222222089767456,0,0.1487206667661667,0,0.8125,0,0.6499999761581421,0,0.800000011920929,0
TextAndGraphAndNumModule2887704356,2022-03-02 14:36:38,84ms,781b3da8efb7471ab6049b9fefcbc1a8,LOCAL,FINISHED,src.datamodules.text_and_graph_and_num_datamodule.TextAndGraphAndNumModule,16,256.0,0,False,dmis-lab/biobert-v1.1,8.0,src.models.text_and_graph_and_num_model.TextAndGraphAndNumModule,29.0,32,32.0,32.0,128.0,,1e-08,5e-05,20,128.0,500.0,2.0,512.0,0.1,dmis-lab/biobert-v1.1,4.0,2586,5,0.01,True,False,False,False,pytorch_lightning.Trainer,ddp,,2,20,1,5,None,None,0.9692307710647584,0,0.9787499904632568,0.0,0.7894737124443054,0,0.0927775725722312,0,0.8333333134651184,0,0.75,0,0.7826087474822998,0
TextAndGraphAndNumModule1832344616,2022-03-02 14:21:01,269ms,64117390c7574e999280996d1cd0389a,LOCAL,FINISHED,src.datamodules.text_and_graph_and_num_datamodule.TextAndGraphAndNumModule,16,256.0,0,False,dmis-lab/biobert-v1.1,8.0,src.models.text_and_graph_and_num_model.TextAndGraphAndNumModule,29.0,32,32.0,32.0,128.0,,1e-08,5e-05,20,128.0,300.0,2.0,512.0,0.1,dmis-lab/biobert-v1.1,4.0,2586,5,0.01,False,False,False,False,pytorch_lightning.Trainer,ddp,,2,20,1,5,None,None,0.965384602546692,0,0.962291657924652,0.0,0.7428571581840515,0,0.1377239823341369,0,0.8666666746139526,0,0.6499999761581421,0,0.8333333134651184,0
TextAndGraphAndNumModule1012590748,2022-03-02 14:06:21,81ms,85091792a3d742f0aeec4fa6870dd589,LOCAL,FINISHED,src.datamodules.text_and_graph_and_num_datamodule.TextAndGraphAndNumModule,16,256.0,0,False,dmis-lab/biobert-v1.1,8.0,src.models.text_and_graph_and_num_model.TextAndGraphAndNumModule,29.0,32,32.0,32.0,128.0,,1e-08,5e-05,20,128.0,300.0,2.0,512.0,0.1,dmis-lab/biobert-v1.1,4.0,2586,5,0.01,True,False,False,False,pytorch_lightning.Trainer,ddp,,2,20,1,5,None,None,0.965384602546692,0,0.9650000333786012,0.0,0.7692307233810425,0,0.1069196537137031,0,0.7894737124443054,0,0.75,0,0.800000011920929,0
TextAndGraphAndNumModule2607361321,2022-03-02 13:51:32,81ms,7102d74220c44e48b5ab4d252387af97,LOCAL,FINISHED,src.datamodules.text_and_graph_and_num_datamodule.TextAndGraphAndNumModule,16,256.0,0,False,dmis-lab/biobert-v1.1,8.0,src.models.text_and_graph_and_num_model.TextAndGraphAndNumModule,29.0,32,32.0,32.0,128.0,,1e-08,5e-05,20,128.0,100.0,2.0,512.0,0.1,dmis-lab/biobert-v1.1,4.0,2586,5,0.01,False,False,False,False,pytorch_lightning.Trainer,ddp,,2,20,1,5,None,None,0.957692325115204,0,0.9493749737739564,0.0,0.6666666269302368,0,0.1682547330856323,0,0.8461538553237915,0,0.550000011920929,0,0.800000011920929,0
TextAndGraphAndNumModule165420071,2022-03-02 13:36:51,80ms,46025062107b428da9904cb55477ee6d,LOCAL,FINISHED,src.datamodules.text_and_graph_and_num_datamodule.TextAndGraphAndNumModule,16,256.0,0,False,dmis-lab/biobert-v1.1,8.0,src.models.text_and_graph_and_num_model.TextAndGraphAndNumModule,29.0,32,32.0,32.0,128.0,,1e-08,5e-05,20,128.0,100.0,2.0,512.0,0.1,dmis-lab/biobert-v1.1,4.0,2586,5,0.01,True,False,False,False,pytorch_lightning.Trainer,ddp,,2,20,1,5,None,None,0.9692307710647584,0,0.9756250381469728,0.0,0.7777777910232544,0,0.1265765875577926,0,0.875,0,0.699999988079071,0,0.8571428656578064,0
TextAndGraphAndNumModule4258360578,2022-03-02 13:21:57,75ms,2be9f440daf74526b80b5a137b5763c3,LOCAL,FINISHED,src.datamodules.text_and_graph_and_num_datamodule.TextAndGraphAndNumModule,16,256.0,0,False,dmis-lab/biobert-v1.1,8.0,src.models.text_and_graph_and_num_model.TextAndGraphAndNumModule,29.0,32,32.0,32.0,128.0,,1e-08,5e-05,20,128.0,180.0,2.0,512.0,0.1,dmis-lab/biobert-v1.1,4.0,2586,5,0.01,False,False,False,False,pytorch_lightning.Trainer,ddp,,2,20,1,5,None,None,0.949999988079071,0,0.8968750238418579,0.0,0.6285714507102966,0,0.1754669845104217,0,0.7333333492279053,0,0.550000011920929,0,0.8181817531585693,0
TextAndGraphAndNumModule3552154414,2022-03-02 13:07:28,77ms,4918431536c546b9909ab1977d31fd0b,LOCAL,FINISHED,src.datamodules.text_and_graph_and_num_datamodule.TextAndGraphAndNumModule,16,256.0,0,False,dmis-lab/biobert-v1.1,8.0,src.models.text_and_graph_and_num_model.TextAndGraphAndNumModule,29.0,32,32.0,32.0,128.0,,1e-08,5e-05,20,128.0,180.0,2.0,512.0,0.1,dmis-lab/biobert-v1.1,4.0,2586,5,0.01,True,False,False,False,pytorch_lightning.Trainer,ddp,,2,20,1,5,None,None,0.965384602546692,0,0.9743749499320984,0.0,0.7428571581840515,0,0.1386517584323883,0,0.8666666746139526,0,0.6499999761581421,0,0.8181817531585693,0
