Name,Start Time,Duration,Run ID,Source Type,Status,dataset__target_,dataset_batch_size,dataset_max_seq_len,dataset_num_workers,dataset_pin_memory,dataset_pretrained_path,dataset_thereshold,model__target_,model_amino_vocab_size,model_batch_size,model_condense_graph_dim,model_condense_num_dim,model_condense_text_dim,model_dropout_prob,model_eps,model_lr,model_max_epochs,model_node_dim,model_num_feature_dim,model_num_gnn_layers,model_post_fusion_dim,model_post_fusion_dropout_prob,model_pretrained_path,model_rank,model_train_size,model_warmup_epoch,model_weight_decay,model_with_intermediate_layer,model_with_lowrank_tensorfusion_network,model_with_lstm,model_with_tensorfusion_network,trainer__target_,trainer_accelerator,trainer_gpus,trainer_max_epochs,trainer_min_epochs,trainer_progress_bar_refresh_rate,trainer_resume_from_checkpoint,trainer_weights_summary,test/auroc_mean,test/auroc_std,test/f1_mean,test/f1_std,test/prec_mean,test/prec_std,test/rec_mean,test/rec_std,val/f1_mean,val/f1_std,test/acc_mean,test/acc_std,test/loss_mean,test/loss_std
TextAndGraphAndNumModule286712766,2022-02-22 23:38:48,80ms,58a923963e6b4bce9112d54847644dcc,LOCAL,FINISHED,src.datamodules.text_and_graph_and_num_datamodule.TextAndGraphAndNumModule,16,256.0,0,False,dmis-lab/biobert-v1.1,8.0,src.models.text_and_graph_and_num_model.TextAndGraphAndNumModule,29.0,32,32.0,32.0,128.0,,1e-08,5e-05,20,128.0,100.0,2.0,512.0,0.1,dmis-lab/biobert-v1.1,4.0,2586,5,0.01,True,False,False,False,pytorch_lightning.Trainer,ddp,2,20,1,5,None,None,0.9280009627342224,0.0739595138490794,0.7168795466423035,0.1281793855452459,0.8055555582046509,0.0860662914524368,0.6597003161907196,0.1733875534226883,0.7511096119880676,0.053474307844412,0.9767441749572754,0.0106853142052998,0.0924716897308826,0.0366145232205797
TextAndNumModule1105203383,2022-02-22 22:31:00,66ms,e711c3bb20024774b6dc9b9a1841e6f4,LOCAL,FINISHED,src.datamodules.text_and_num_datamodule.TextAndNumModule,16,256.0,0,False,dmis-lab/biobert-v1.1,,src.models.text_and_num_model.TextAndNumModule,,32,,,,,1e-08,5e-05,20,,500.0,,,,dmis-lab/biobert-v1.1,,2586,5,0.01,False,,False,,pytorch_lightning.Trainer,ddp,2,20,1,5,None,None,0.9329544186592102,0.0607715163151306,0.7276146173477173,0.1169511491434639,0.8025108218193054,0.1648536711584727,0.7114485561847687,0.1882163020244439,0.7789889931678772,0.0517699735079925,0.9759689807891846,0.0105152452979724,0.0904065277427434,0.0416700854507158
TextAndNumModule1416554964,2022-02-22 21:23:23,63ms,65753b095c4b4cd5b25d129ea2f1f098,LOCAL,FINISHED,src.datamodules.text_and_num_datamodule.TextAndNumModule,16,256.0,0,False,dmis-lab/biobert-v1.1,,src.models.text_and_num_model.TextAndNumModule,,32,,,,,1e-08,5e-05,20,,500.0,,,,dmis-lab/biobert-v1.1,,2586,5,0.01,True,,False,,pytorch_lightning.Trainer,ddp,2,20,1,5,None,None,0.923923635482788,0.0687838622841021,0.7062465667724609,0.0530814269261667,0.7358220338821411,0.1393969473137526,0.7182018160820007,0.1521032836693888,0.7701162099838257,0.0540871380154118,0.973643398284912,0.002900510985221,0.0934132024645805,0.0380454334051342
TextAndNumModule1355500193,2022-02-22 20:16:47,64ms,2ed65694ec7f4a188ba5f5b0926cc4a3,LOCAL,FINISHED,src.datamodules.text_and_num_datamodule.TextAndNumModule,16,256.0,0,False,dmis-lab/biobert-v1.1,,src.models.text_and_num_model.TextAndNumModule,,32,,,,,1e-08,5e-05,20,,300.0,,,,dmis-lab/biobert-v1.1,,2586,5,0.01,False,,False,,pytorch_lightning.Trainer,ddp,2,20,1,5,None,None,0.959751546382904,0.0440697556552137,0.6605128526687623,0.1661230807001063,0.8095238149166107,0.2501700055199616,0.6521079123020173,0.2194182638888637,0.7297308564186096,0.069321964237858,0.9689922332763672,0.0183444421832753,0.0939838543534278,0.037484585862871
TextAndNumModule2452160272,2022-02-22 19:11:56,55ms,e6adfe4a640d472097e9913a4e5cabfb,LOCAL,FINISHED,src.datamodules.text_and_num_datamodule.TextAndNumModule,16,256.0,0,False,dmis-lab/biobert-v1.1,,src.models.text_and_num_model.TextAndNumModule,,32,,,,,1e-08,5e-05,20,,300.0,,,,dmis-lab/biobert-v1.1,,2586,5,0.01,True,,False,,pytorch_lightning.Trainer,ddp,2,20,1,5,None,None,0.9573678135871888,0.0380639067990116,0.7311490893363952,0.0612918238543992,0.7486868739128113,0.0938783333597757,0.7371029019355774,0.1373213331602432,0.7556455731391907,0.055949055963367,0.9759689807891846,0.0045201199033021,0.0835867412388324,0.0273520831332135
TextAndNumModule3738192267,2022-02-22 18:07:36,65ms,867273a327d546bbbc0ab6ea94d5f752,LOCAL,FINISHED,src.datamodules.text_and_num_datamodule.TextAndNumModule,16,256.0,0,False,dmis-lab/biobert-v1.1,,src.models.text_and_num_model.TextAndNumModule,,32,,,,,1e-08,5e-05,20,,100.0,,,,dmis-lab/biobert-v1.1,,2586,5,0.01,False,,False,,pytorch_lightning.Trainer,ddp,2,20,1,5,None,None,0.905954384803772,0.1003268137394314,0.7093052983283996,0.1194383997182725,0.7546853184700012,0.1656214551199901,0.7131468653678894,0.1821945501614872,0.7344399690628052,0.0754439744936885,0.973643398284912,0.0121089200001921,0.1130353808403015,0.0540646349430528
TextAndNumModule697162088,2022-02-22 17:04:53,60ms,3e448e4a20b2408aa8f0e4c5958f5a16,LOCAL,FINISHED,src.datamodules.text_and_num_datamodule.TextAndNumModule,16,256.0,0,False,dmis-lab/biobert-v1.1,,src.models.text_and_num_model.TextAndNumModule,,32,,,,,1e-08,5e-05,20,,100.0,,,,dmis-lab/biobert-v1.1,,2586,5,0.01,True,,False,,pytorch_lightning.Trainer,ddp,2,20,1,5,None,None,0.8352723360061646,0.1746765799731693,0.5066137790679932,0.2653427412141764,0.528113067150116,0.2876875547879107,0.5388611495494843,0.3318684347621933,0.6089580655097961,0.3074053947341669,0.9643410682678224,0.0066684723790317,0.1240306317806243,0.0395181412134121
TextAndNumModule1549453014,2022-02-22 16:08:09,63ms,68a165f4346e4d7ca95575bf74720fc2,LOCAL,FINISHED,src.datamodules.text_and_num_datamodule.TextAndNumModule,16,256.0,0,False,dmis-lab/biobert-v1.1,,src.models.text_and_num_model.TextAndNumModule,,32,,,,,1e-08,5e-05,20,,180.0,,,,dmis-lab/biobert-v1.1,,2586,5,0.01,False,,False,,pytorch_lightning.Trainer,ddp,2,20,1,5,None,None,0.9593824744224548,0.0505296484939447,0.748338770866394,0.1162511314731293,0.8254761874675751,0.1968222605633672,0.7200199842453003,0.1474010626162072,0.7715237140655518,0.0558276313548164,0.9775193691253662,0.0125954143852392,0.0840734884142875,0.0282154132946541
TextAndNumModule2248585534,2022-02-22 15:05:10,65ms,849ab4ddc5ff48b8aec63638117d72b7,LOCAL,FINISHED,src.datamodules.text_and_num_datamodule.TextAndNumModule,16,256.0,0,False,dmis-lab/biobert-v1.1,,src.models.text_and_num_model.TextAndNumModule,,32,,,,,1e-08,5e-05,20,,180.0,,,,dmis-lab/biobert-v1.1,,2586,5,0.01,True,,False,,pytorch_lightning.Trainer,ddp,2,20,1,5,None,None,0.9083673477172852,0.0899292533540785,0.7159349203109742,0.1503663085437911,0.7703174710273742,0.1435026040065941,0.6960639417171478,0.1922526224928382,0.768116581439972,0.0590755714747163,0.9744185924530028,0.0159998273506653,0.0909978047013282,0.0510873868538152
TextAndNumModule3460405268,2022-02-22 14:04:02,66ms,7d76b281a5144b4781145cbf1fd0bf97,LOCAL,FINISHED,src.datamodules.text_and_num_datamodule.TextAndNumModule,16,256.0,0,False,dmis-lab/biobert-v1.1,,src.models.text_and_num_model.TextAndNumModule,,32,,,,,1e-08,5e-05,20,,100.0,,,,dmis-lab/biobert-v1.1,,2586,5,0.01,False,,False,,pytorch_lightning.Trainer,ddp,2,20,1,5,None,None,0.9624233365058898,0.0514889454710933,0.7217543840408325,0.111100425693879,0.8029526114463806,0.1533214412133453,0.6932667434215546,0.162033678478197,0.7846708178520203,0.0798412969380122,0.9759689807891846,0.0099273291328378,0.0869343563914299,0.0340377931151659
TextAndNumModule3276805414,2022-02-22 13:01:47,61ms,57994c6a329e4113a5747817525c4a59,LOCAL,FINISHED,src.datamodules.text_and_num_datamodule.TextAndNumModule,16,256.0,0,False,dmis-lab/biobert-v1.1,,src.models.text_and_num_model.TextAndNumModule,,32,,,,,1e-08,5e-05,20,,100.0,,,,dmis-lab/biobert-v1.1,,2586,5,0.01,True,,False,,pytorch_lightning.Trainer,ddp,2,20,1,5,None,None,0.9469796657562256,0.0728524679581963,0.7079481601715087,0.1096874113475735,0.8269841313362122,0.1086345241750465,0.6397003114223481,0.1614040125821989,0.7255046725273132,0.045009656406925,0.9767441749572754,0.0084918266461958,0.0854745753109455,0.030745129861134
TextAndGraphModule4011877590,2022-02-22 11:59:47,65ms,3911532046bb4232af7e09485564178e,LOCAL,FINISHED,src.datamodules.text_and_graph_datamodule.TextAndGraphModule,16,256.0,0,False,dmis-lab/biobert-v1.1,8.0,src.models.text_and_graph_model.TextAndGraphModule,29.0,32,,,,,1e-08,5e-05,20,128.0,,2.0,,,dmis-lab/biobert-v1.1,,2586,5,0.01,,,,,pytorch_lightning.Trainer,ddp,2,20,1,5,None,None,0.923079514503479,0.0710779345942606,0.6899393916130065,0.0981485954658863,0.7539210796356202,0.1089382848479364,0.6777622401714325,0.192424071912156,0.7468064546585083,0.0498513241107878,0.973643398284912,0.0075157863084809,0.098273792117834,0.0365297707173456
TextModule1873968074,2022-02-22 10:57:32,57ms,2b872686e6b34f968323ccb57972f765,LOCAL,FINISHED,src.datamodules.text_datamodule.TextDatasetModule,16,256.0,0,False,dmis-lab/biobert-v1.1,,src.models.text_model.TextModule,,32,,,,,1e-08,5e-05,20,,,,,,dmis-lab/biobert-v1.1,,2586,5,0.01,,,False,,pytorch_lightning.Trainer,ddp,2,20,1,5,None,None,0.944461977481842,0.0804926177205568,0.734788691997528,0.121501695875714,0.8092307806015014,0.1847122143034671,0.7085314750671386,0.1658551367519533,0.7814063668251038,0.0480232376210441,0.9759689807891846,0.0137364756560041,0.0880042679607868,0.0476108743317736
