Name,dataset,text_modality,graph_modality,numerical_modality,numerical_version,model_with_intermediate_layer,model_with_tensorfusion_network,model_with_lowrank_tensorfusion_network,val/f1_mean,val/f1_std,test/acc_mean,test/acc_std,test/prec_mean,test/prec_std,test/rec_mean,test/rec_std,test/f1_mean,test/f1_std,test/auroc_mean,test/auroc_std
TextAndNumModule1416554964,hprd,True,False,True,Ver2_500,True,,,0.7701162099838257,0.0540871380154118,0.973643398284912,0.002900510985221,0.7358220338821411,0.1393969473137526,0.7182018160820007,0.1521032836693888,0.7062465667724609,0.0530814269261667,0.923923635482788,0.0687838622841021
TextAndNumModule1105203383,hprd,True,False,True,Ver2_500,False,,,0.7789889931678772,0.0517699735079925,0.9759689807891846,0.0105152452979724,0.8025108218193054,0.1648536711584727,0.7114485561847687,0.1882163020244439,0.7276146173477173,0.1169511491434639,0.9329544186592102,0.0607715163151306
TextAndGraphAndNumModule286712766,hprd,True,True,True,Ver1_100,True,False,False,0.7511096119880676,0.053474307844412,0.9767441749572754,0.0106853142052998,0.8055555582046509,0.0860662914524368,0.6597003161907196,0.1733875534226883,0.7168795466423035,0.1281793855452459,0.9280009627342224,0.0739595138490794
TextAndGraphAndNumModule118043189,hprd,True,True,True,Ver1_100,False,False,False,0.7337949514389038,0.0855477996707673,0.979069757461548,0.0052576226489862,0.8198989868164063,0.0704581371135761,0.7000200033187867,0.1192078794812456,0.748353099822998,0.0717777867903794,0.955310082435608,0.0413870350603901
TextAndGraphAndNumModule2007984512,hprd,True,True,True,Ver1_180,True,False,False,0.7389143347740174,0.0615807609482858,0.9720930099487304,0.0105152452979724,0.782619059085846,0.113801988614713,0.597562450170517,0.1789153115006657,0.6539649248123169,0.1357354071804194,0.9526642084121704,0.0576565633444716
TextAndGraphAndNumModule1921005430,hprd,True,True,True,Ver1_180,False,False,False,0.7806689977645874,0.0735750938891431,0.982945728302002,0.0093667067715037,0.8916666746139527,0.0136082828377272,0.7285314798355103,0.1696073924953254,0.7924526810646058,0.107752696263599,0.9536666750907898,0.0572909894953164
TextAndGraphAndNumModule2057865859,hprd,True,True,True,Ver2_100,True,False,False,0.7657092094421387,0.0899953889542404,0.9682170391082764,0.0079054603798368,0.663866400718689,0.0786260989809179,0.6799600481986999,0.2066139291032919,0.6500395357608795,0.100008812347285,0.9487953543663024,0.0521622970096725
TextAndGraphAndNumModule341021591,hprd,True,True,True,Ver2_100,False,False,False,0.7656649470329284,0.0648023594372681,0.9775193691253662,0.008276808793224,0.8864285707473755,0.0656365951585619,0.6072327733039856,0.1546177322451388,0.7047110438346863,0.1112910679424031,0.939703607559204,0.0776644135933173
TextAndGraphAndNumModule1375619467,hprd,True,True,True,Ver2_300,True,False,False,0.7806478857994079,0.0284074632739005,0.9759689807891846,0.0062015533447265,0.7665171027183533,0.0703806560155622,0.725734269618988,0.1678079251356705,0.7286972403526306,0.0680787124301222,0.9304074883461,0.0636304748470066
TextAndGraphAndNumModule347571759,hprd,True,True,True,Ver2_300,False,False,False,0.7664571285247803,0.0346392823561223,0.9767441749572754,0.0042459133230979,0.8055555582046509,0.1648044090383286,0.7182018160820007,0.1521032836693888,0.7332788109779358,0.0524208836958724,0.921081793308258,0.0659489859800005
TextAndGraphAndNumModule4186420537,hprd,True,True,True,Ver2_500,True,False,False,0.620069420337677,0.3151596089393396,0.973643398284912,0.0110719873392888,0.6711111187934875,0.3528788148165124,0.5428171992301941,0.2831614401857564,0.594256579875946,0.304125486990176,0.8175415754318237,0.2161661363176293
TextAndGraphAndNumModule1728078195,hprd,True,True,True,Ver2_500,False,False,False,0.7505754828453064,0.0734331904062342,0.9775193691253662,0.0066684723790317,0.8360750436782837,0.0925979709783142,0.6521678447723389,0.1099371847921936,0.7243875026702881,0.0691957827000705,0.9242353677749634,0.09327508068538
GraphModule1067416,hprd,False,True,False,,,,,0.105995973944664,0.0543444130059382,0.6705426335334778,0.2024873798491575,0.0256637811660766,0.0228149391931059,0.2713286817073822,0.2283364122719993,0.0468399830162525,0.0413958552036699,0.5137201964855194,0.0785771648636535
GraphAndNumModule3827369735,hprd,False,True,True,Ver1_100,,,,0.1466847360134124,0.0212970673621328,0.5775193691253662,0.1415233011278027,0.0399797054007649,0.0186803433985223,0.3468731388449669,0.1940858068091857,0.0705381616950035,0.0326180541801882,0.4277848720550537,0.040020405535719
GraphAndNumModule1338068924,hprd,False,True,True,Ver1_180,,,,0.1426983952522277,0.0326801967817532,0.4488372027873993,0.1411917117121615,0.0444147586822509,0.0155223343489274,0.4945055067539215,0.0868366972671993,0.0809324413537979,0.026082557356588,0.4804448544979095,0.1135307527107236
GraphAndNumModule3870940558,hprd,False,True,True,Ver2_100,,,,0.1832294762134552,0.0681135369512785,0.686821699142456,0.091505705988098,0.0400247298181056,0.0265678457493857,0.3043156936764717,0.2131598962456914,0.0706127751618623,0.04715237031207,0.4813424229621887,0.0693307208189513
GraphAndNumModule513052086,hprd,False,True,True,Ver2_300,,,,0.1445711866021156,0.0473397618011993,0.7124031066894532,0.1342316992697936,0.057922825217247,0.0341959156166475,0.4202797293663025,0.2348901033981454,0.1008536919951439,0.0577891090322947,0.5617696106433868,0.0567316579546791
GraphAndNumModule3666600014,hprd,False,True,True,Ver2_500,,,,0.1514293268322944,0.0495746532501953,0.6589147329330445,0.0815244417937514,0.0385934809222817,0.0172277801200543,0.2553646400570869,0.1277988123348176,0.0667401038110256,0.0303173913665388,0.4648493766784668,0.074776282611609
NumModule2379237813,hprd,False,False,True,Ver1_100,,,,0.0466666668653488,0.0933333337306976,0.9333333134651184,0.0406810555052826,0.2066666670143604,0.3968766949451394,0.0381818190217018,0.0468512691002303,0.0433333344757556,0.0646357333431432,0.583158278465271,0.1301608044965938
NumModule932133968,hprd,False,False,True,Ver1_180,,,,0.1806964010000228,0.085345687615008,0.6968992233276368,0.1986886943555951,0.0766666680574417,0.0270277422897644,0.3782217800617218,0.1800285679567024,0.1145451977849006,0.0198387185561555,0.5581212997436523,0.0957409035860719
NumModule3846590630,hprd,False,False,True,Ver2_100,,,,0.0505494549870491,0.0794593290780189,0.9279069900512696,0.011126114459288,0.0515151530504226,0.0674880548940888,0.0335664346814155,0.0413475412100536,0.0401960805058479,0.0504116112105725,0.5490808308124542,0.0740719139405332
NumModule2206269567,hprd,False,False,True,Ver2_300,,,,0.0329028636217117,0.040438578661987,0.8953488588333129,0.0485966754298383,0.0503623194992542,0.0485344990090638,0.073566435277462,0.0736498780740633,0.0507246389985084,0.0421160977902116,0.4987683355808258,0.0842226069950563
NumModule3163384605,hprd,False,False,True,Ver2_500,,,,0.0925344631075859,0.0500447239255891,0.925581407546997,0.0198243474716235,0.0529040411114692,0.0458741859202061,0.047852149605751,0.0395841475081193,0.0488727867603302,0.0401250642768557,0.4898414134979248,0.0558083986255279
